,Latitude,Longitude,City,Country,Temperature,Humidity,Cloudiness,Wind Speed
0,-58.22,-70.26,ushuaia,ar,38.75,100,92,22.75
1,-40.82,41.4,margate,za,53.69,100,64,13.42
2,1.45,-42.62,cururupu,br,80.15,100,32,11.3
3,26.9,58.93,iranshahr,ir,79.7,32,36,2.91
4,-5.33,-77.99,la peca,pe,71.24,85,88,2.51
5,38.97,160.12,severo-kurilsk,ru,56.66,100,88,10.89
6,-62.54,132.03,new norfolk,au,30.56,100,92,23.49
7,26.3,46.27,riyadh,sa,82.4,21,0,10.96
8,-15.55,24.33,kaoma,zm,63.14,65,0,6.08
9,33.59,178.23,nikolskoye,ru,68.72,100,12,5.93
10,-11.43,170.11,sola,vu,81.5,100,92,5.3
11,22.46,128.89,itoman,jp,84.47,96,0,4.63
12,29.03,-20.31,los llanos de aridane,es,66.2,100,44,18.61
13,57.93,29.33,porkhov,ru,53.6,54,0,4.47
14,25.24,46.4,riyadh,sa,86.0,15,0,4.7
15,-30.96,35.7,richards bay,za,69.35,100,36,13.65
16,-46.67,146.16,hobart,au,52.43,89,92,22.97
17,-27.11,-66.86,tucuman,ar,56.93,28,0,0.49
18,-23.24,128.89,yulara,au,50.27,78,0,4.74
19,39.07,103.03,jinchang,cn,43.61,38,0,2.84
20,-37.48,-164.95,avarua,ck,62.42,100,92,32.82
21,16.59,168.61,butaritari,ki,79.16,100,76,21.7
22,-8.91,120.41,ruteng,id,78.17,100,92,9.55
23,-66.19,-7.08,cape town,za,18.86,100,44,28.19
24,-16.06,-155.26,faanui,pf,80.33,100,76,8.95
25,34.39,72.49,swabi,pk,62.87,57,0,3.24
26,43.83,91.87,hami,cn,36.68,33,0,3.58
27,17.51,55.51,salalah,om,85.01,95,12,16.33
28,41.94,88.0,korla,cn,49.1,44,0,5.14
29,-32.83,89.4,carnarvon,au,63.59,100,100,16.11
30,22.85,-3.25,taoudenni,ml,96.35,13,20,13.69
31,48.08,-163.72,bethel,us,43.88,100,76,12.86
32,-14.53,107.0,kawalu,id,80.6,100,68,22.97
33,-61.97,59.27,taolanaro,mg,17.87,100,36,4.41
34,37.17,147.5,kamaishi,jp,59.54,100,20,7.31
35,-25.04,148.61,blackwater,au,49.55,91,44,5.37
36,30.68,-154.15,ahuimanu,us,67.1,100,88,11.63
37,69.76,-16.35,husavik,is,36.95,95,48,9.78
38,59.58,-53.13,paamiut,gl,34.7,100,12,11.34
39,60.9,106.33,yerbogachen,ru,37.49,100,92,5.41
40,-21.48,-116.18,rikitea,pf,76.64,98,12,19.46
41,10.95,-2.96,dano,bf,81.23,79,20,4.25
42,-68.8,-16.3,cape town,za,9.86,99,64,20.18
